net,length_um
_0776_,34.36µm
_1535_,34.36µm
_0998_,34.34µm
net20,34.26µm
_0224_,34.18µm
delta\[2\],34.12µm
_0509_,34.1µm
_0476_,33.72µm
net69,33.7µm
_0711_,33.64µm
_1439_,33.52µm
_0748_,33.16µm
_1140_,33.14µm
_1421_,33.12µm
tA\[5\],33.005µm
_0415_,32.8µm
delta\[3\],32.74µm
_0842_,32.6µm
_0428_,32.52µm
_0219_,32.48µm
_1549_,32.36µm
tC\[8\],32.35µm
tC\[6\],32.13µm
_1749_,31.73µm
_0922_,31.58µm
net17,31.54µm
_1799_,31.52µm
_0987_,31.28µm
delta\[11\],31.24µm
_0377_,31.23µm
_1058_,31.14µm
_0391_,31.12µm
delta\[13\],31µm
_0338_,30.92µm
_0596_,30.92µm
_0897_,30.92µm
_1521_,30.7µm
_1695_,30.62µm
_1738_,30.52µm
_0631_,30.48µm
_1671_,30.42µm
counter\[6\],30.38µm
_1703_,30.3µm
_0752_,30.28µm
_0324_,30.22µm
delta\[12\],30.22µm
_0681_,30.08µm
_0716_,29.94µm
_0926_,29.92µm
_0692_,29.82µm
_1794_,29.8µm
_0451_,29.74µm
_0588_,29.58µm
_0416_,29.48µm
_1172_,29.32µm
_0431_,29.28µm
_0235_,29.2µm
_0483_,29.08µm
_0775_,29.07µm
_0432_,29µm
_1863_,28.66µm
_1715_,28.64µm
delta\[10\],28.64µm
_0272_,28.62µm
_1168_,28.5µm
_1670_,28.34µm
_1728_,28.26µm
_1325_,28.16µm
_1574_,28.14µm
_1470_,28.12µm
_1278_,28.08µm
_0394_,28.04µm
tA\[7\],27.98µm
_1142_,27.92µm
tA\[15\],27.9µm
_1473_,27.82µm
tA\[8\],27.76µm
delta\[6\],27.74µm
tA\[14\],27.66µm
_0612_,27.6µm
_0477_,27.39µm
net6,27.36µm
_1531_,27.34µm
tA\[4\],27.3µm
_1402_,27.28µm
_0434_,27.16µm
_0252_,27.14µm
_0774_,26.92µm
_0956_,26.76µm
_1118_,26.76µm
_1694_,26.62µm
_1369_,26.54µm
_0297_,26.28µm
_1633_,26.22µm
_0621_,26.14µm
_1246_,26.14µm
_0597_,26.12µm
_0826_,26.11µm
_0288_,26.1µm
delta\[5\],26.1µm
_1685_,26.04µm
_0296_,25.98µm
_0895_,25.96µm
tB\[4\],25.84µm
tC\[15\],25.8µm
_1275_,25.6µm
delta\[8\],25.58µm
_0210_,25.46µm
delta\[9\],25.4µm
_0734_,25.38µm
_1609_,25.22µm
_0766_,25.1µm
state\[4\],25µm
tA\[6\],24.9µm
_1383_,24.84µm
_0929_,24.72µm
_1851_,24.72µm
_1484_,24.68µm
_0453_,24.66µm
_0603_,24.48µm
_0660_,24.48µm
_1823_,24.395µm
_1601_,24.36µm
_0648_,24.32µm
_0561_,24.18µm
