net,length_um
_1854_,42.62µm
_0286_,42.27µm
_1158_,42.2µm
_1744_,42.2µm
_1178_,42.1µm
_1251_,41.92µm
_2070_,41.76µm
_1448_,41.7µm
_2046_,41.62µm
_0739_,41.58µm
_2069_,41.51µm
_0313_,41.42µm
_0628_,41.39µm
_2097_,41.36µm
_0667_,41.32µm
net155,41.24µm
slte0.opA\[7\],40.75µm
_2055_,40.695µm
_0838_,40.4µm
_1867_,40.22µm
_1806_,40.08µm
slte0.opA\[14\],39.94µm
_1476_,39.91µm
_1723_,39.8µm
_0362_,39.79µm
_1676_,39.655µm
_0932_,39.46µm
_1815_,39.37µm
slte0.opA\[15\],39.34µm
_1129_,39.32µm
net40,39.3µm
_1146_,38.94µm
vec\[1\]\[5\],38.68µm
_0853_,38.44µm
_1696_,38.16µm
slte0.opA\[13\],38.14µm
_1388_,37.94µm
_1432_,37.7µm
_1837_,37.4µm
_0600_,37.34µm
_1960_,37.29µm
_1246_,37.22µm
_2096_,36.94µm
_1564_,36.79µm
_0604_,36.78µm
_2336_,36.77µm
_1371_,36.74µm
_2307_,36.7µm
_1694_,36.56µm
_0661_,36.52µm
_1580_,36.48µm
_1095_,36.47µm
_1104_,36.44µm
_1818_,36.36µm
_0702_,36.24µm
_0720_,36.11µm
_2064_,36.08µm
_1232_,35.98µm
_2037_,35.98µm
_1807_,35.54µm
_0990_,35.315µm
_0462_,35.02µm
_0895_,34.94µm
net59,34.94µm
_0539_,34.9µm
_0788_,34.62µm
_1400_,34.62µm
_1175_,34.59µm
_0530_,34.16µm
_0540_,34.14µm
_1216_,34.14µm
_1490_,33.8µm
_2067_,33.74µm
_0843_,33.68µm
_1765_,33.66µm
_1404_,33.48µm
_0804_,33.42µm
_2261_,33.38µm
_2328_,33.34µm
_1325_,33.26µm
_1552_,33.2µm
_1367_,33.06µm
_2312_,33µm
_0696_,32.81µm
_2275_,32.66µm
_1661_,32.64µm
_2041_,32.58µm
_1059_,32.54µm
_0878_,32.48µm
_1018_,32.42µm
_0877_,32.32µm
_1468_,32.16µm
net44,32.12µm
_2043_,32.08µm
_2061_,32.06µm
_1321_,31.94µm
_1844_,31.94µm
_1431_,31.76µm
_2068_,31.7µm
_0560_,31.67µm
_0747_,31.66µm
_2158_,31.6µm
_1732_,31.54µm
_1065_,31.5µm
_0471_,31.42µm
_0476_,31.34µm
_1224_,31.2µm
_1674_,31.08µm
_0295_,31µm
_1773_,30.98µm
_1754_,30.86µm
_2047_,30.675µm
_1731_,30.62µm
_1804_,30.6µm
_0799_,30.52µm
_2253_,30.46µm
_1150_,30.28µm
_1782_,30.28µm
_1215_,30.18µm
_1809_,30.14µm
_0392_,30.12µm
_1833_,30µm
_1959_,30µm
_1214_,29.92µm
_2240_,29.92µm
slte0.opA\[12\],29.85µm
_0580_,29.82µm
_0767_,29.82µm
net23,29.78µm
net344,29.7µm
_1270_,29.62µm
_1805_,29.56µm
slte0.opA\[0\],29.56µm
net39,29.5µm
_0253_,29.47µm
_1033_,29.4µm
_2073_,29.32µm
_1840_,29.3µm
_0461_,29.2µm
_1601_,29.04µm
_1821_,29.04µm
_0368_,28.98µm
_1494_,28.98µm
_1698_,28.9µm
gm0.iter\[2\],28.84µm
_1820_,28.62µm
_1132_,28.48µm
_0391_,28.38µm
_1093_,28.38µm
_0840_,28.24µm
_1499_,28.22µm
slte0.opA\[11\],28.12µm
_1948_,28.1µm
_2078_,28.02µm
_0873_,28µm
_1204_,27.91µm
_1298_,27.91µm
_1592_,27.9µm
slte0.opB\[14\],27.7µm
_1421_,27.62µm
_0931_,27.6µm
_1616_,27.6µm
slte0.opB\[4\],27.6µm
_2241_,27.56µm
_2332_,27.5µm
_2089_,27.48µm
_0265_,27.46µm
_1428_,27.46µm
_1464_,27.38µm
_1523_,27.38µm
net24,27.26µm
_0334_,27.16µm
_2262_,27.12µm
_1177_,27.1µm
_2052_,27.1µm
_1852_,27.08µm
_0500_,26.98µm
_0398_,26.82µm
_1000_,26.79µm
_2075_,26.76µm
_0921_,26.72µm
_1027_,26.7µm
_1707_,26.7µm
_0432_,26.68µm
_1801_,26.68µm
_1255_,26.66µm
_1741_,26.66µm
_1342_,26.64µm
_1810_,26.62µm
_1737_,26.6µm
_2038_,26.6µm
_0424_,26.58µm
_2286_,26.5µm
_1022_,26.34µm
_1273_,26.32µm
_1471_,26.28µm
_1777_,26.28µm
_1409_,26.26µm
_1128_,26.205µm
_2304_,26.18µm
slte0.opB\[3\],26.14µm
_2059_,26.12µm
slte0.opA\[9\],26.12µm
_1772_,26.1µm
_1984_,26.1µm
_2242_,26.08µm
_0997_,26.07µm
_1857_,25.86µm
_0448_,25.78µm
_2113_,25.76µm
_1019_,25.66µm
_1612_,25.66µm
_0545_,25.62µm
_2094_,25.56µm
_1506_,25.52µm
_2176_,25.44µm
_2321_,25.375µm
_0417_,25.22µm
_0376_,25.18µm
_2318_,25.16µm
_0773_,25.08µm
_2258_,25.08µm
_1816_,25.04µm
_0750_,25.02µm
_1565_,25µm
_2257_,25µm
_0458_,24.99µm
_0918_,24.96µm
_1410_,24.96µm
_1883_,24.96µm
slte0.opB\[9\],24.94µm
net52,24.94µm
_1174_,24.92µm
_0593_,24.9µm
_1126_,24.83µm
vec\[0\]\[5\],24.82µm
_0449_,24.8µm
_2269_,24.775µm
_1361_,24.72µm
_0824_,24.7µm
_0419_,24.68µm
_1826_,24.64µm
_1650_,24.6µm
_1517_,24.5µm
_1799_,24.42µm
slte0.opB\[5\],24.4µm
_1947_,24.38µm
_0348_,24.255µm
_0694_,24.12µm
_0783_,24.02µm
_1138_,24µm
_1456_,24µm
_0809_,23.98µm
_1434_,23.94µm
_0930_,23.86µm
_2288_,23.82µm
slte0.opB\[1\],23.76µm
_0664_,23.74µm
_1013_,23.74µm
_0707_,23.68µm
_1704_,23.64µm
_2254_,23.555µm
_0451_,23.48µm
_1846_,23.46µm
_1819_,23.42µm
_1154_,23.4µm
_1408_,23.38µm
_2319_,23.38µm
_2167_,23.3µm
vec\[1\]\[13\],23.3µm
_0592_,23.28µm
_1513_,23.24µm
_1795_,23.08µm
slte0.opA\[10\],23.02µm
_2247_,23.01µm
_0786_,22.9µm
_1411_,22.88µm
_2298_,22.82µm
_1393_,22.74µm
_2292_,22.7µm
_0736_,22.68µm
_0347_,22.495µm
_0903_,22.46µm
_0964_,22.46µm
_1210_,22.435µm
_0820_,22.42µm
_0360_,22.38µm
_1073_,22.38µm
_2271_,22.3µm
cos[5],22.28µm
slte0.opB\[11\],22.28µm
_0718_,22.27µm
_2289_,22.18µm
_1192_,22.16µm
_0939_,22.14µm
_0771_,22.08µm
_1355_,22.08µm
_1962_,22.04µm
_1607_,22µm
_2050_,22µm
slte0.opB\[7\],21.86µm
_1048_,21.85µm
_1526_,21.84µm
net1,21.82µm
_2246_,21.8µm
_2299_,21.8µm
_0796_,21.78µm
_1817_,21.77µm
_1678_,21.66µm
_1779_,21.62µm
_0713_,21.6µm
_1248_,21.6µm
_2066_,21.6µm
_1463_,21.4µm
_0888_,21.38µm
_0395_,21.32µm
_0473_,21.26µm
_1111_,21.26µm
_1738_,21.26µm
_2091_,21.24µm
_0412_,21.2µm
_1880_,21.18µm
_1743_,21.17µm
_0277_,21µm
_1460_,21µm
_0609_,20.94µm
_1053_,20.94µm
_2280_,20.94µm
_2080_,20.92µm
_1011_,20.9µm
_1829_,20.84µm
_1147_,20.78µm
_0814_,20.755µm
_0154_,20.725µm
_1266_,20.72µm
_1340_,20.72µm
_2054_,20.7µm
_0652_,20.66µm
_0677_,20.64µm
_0876_,20.62µm
_0882_,20.62µm
_2276_,20.54µm
_1076_,20.52µm
_1269_,20.5µm
_1309_,20.46µm
_0513_,20.42µm
_0994_,20.42µm
_0998_,20.42µm
_1824_,20.36µm
_1397_,20.3µm
_1498_,20.28µm
_1562_,20.24µm
_1387_,20.22µm
_1646_,20.18µm
_1745_,20.18µm
vec\[0\]\[12\],20.17µm
_1668_,20.14µm
_1628_,20.12µm
_1915_,20.11µm
_1045_,20.08µm
_1335_,20.06µm
_0716_,20µm
_1438_,20µm
_0614_,19.98µm
_2317_,19.98µm
_1382_,19.92µm
_1589_,19.88µm
net25,19.88µm
_0668_,19.87µm
_1576_,19.86µm
_0741_,19.85µm
_1349_,19.8µm
_1157_,19.79µm
_0552_,19.78µm
_1180_,19.78µm
net342,19.78µm
_2323_,19.72µm
_1539_,19.66µm
_1445_,19.64µm
_0742_,19.62µm
_2116_,19.595µm
_0469_,19.59µm
_1775_,19.58µm
_1080_,19.56µm
_1545_,19.54µm
_2278_,19.52µm
_0821_,19.425µm
_1594_,19.4µm
_1264_,19.38µm
_1475_,19.38µm
_2057_,19.34µm
_2128_,19.28µm
slte0.opA\[6\],19.26µm
_2138_,19.24µm
_1566_,19.2µm
_0587_,19.18µm
_1190_,19.14µm
_2115_,19.12µm
_0828_,19.08µm
slte0.opB\[10\],19.06µm
_1241_,18.98µm
_1339_,18.98µm
_2084_,18.96µm
_1928_,18.92µm
_1061_,18.9µm
_0871_,18.88µm
_2139_,18.84µm
_1425_,18.82µm
_2107_,18.82µm
_1760_,18.78µm
slte0.opA\[16\],18.78µm
_2297_,18.76µm
_0945_,18.74µm
slte0.opA\[5\],18.74µm
_1679_,18.72µm
_1070_,18.7µm
_0808_,18.68µm
_1593_,18.62µm
_0400_,18.6µm
_0355_,18.58µm
_1292_,18.58µm
_1424_,18.54µm
_0246_,18.5µm
_0816_,18.48µm
_0854_,18.48µm
_1405_,18.48µm
_1316_,18.455µm
_2239_,18.43µm
_1194_,18.42µm
_1613_,18.38µm
_0320_,18.28µm
_0902_,18.28µm
_0781_,18.26µm
_0402_,18.24µm
_0655_,18.22µm
_1944_,18.22µm
_1208_,18.16µm
_0309_,18.1µm
_0578_,18.1µm
vec\[1\]\[3\],18.06µm
_2315_,18.02µm
cos[1],18.02µm
vec\[1\]\[7\],18.02µm
_0928_,18µm
_1343_,18µm
_1567_,18µm
_2256_,18µm
_1222_,17.98µm
_0352_,17.88µm
_1017_,17.84µm
gm0.iter\[0\],17.84µm
_0861_,17.82µm
_1422_,17.8µm
_0568_,17.78µm
_2333_,17.77µm
slte0.opA\[8\],17.74µm
_1543_,17.64µm
_1877_,17.64µm
_0270_,17.59µm
_1626_,17.48µm
_2146_,17.46µm
cos[11],17.46µm
_1688_,17.4µm
_2198_,17.3µm
_0550_,17.28µm
_1862_,17.24µm
_0922_,17.18µm
_1855_,17.14µm
_0538_,17.1µm
_0695_,17.08µm
_2083_,17.06µm
_1858_,17.02µm
_2273_,17.02µm
_1346_,17.015µm
_0405_,17µm
_1144_,17µm
_2290_,16.97µm
_1219_,16.94µm
_0616_,16.92µm
_1258_,16.92µm
_1763_,16.92µm
_0557_,16.9µm
_1477_,16.88µm
_1597_,16.82µm
net38,16.82µm
_2131_,16.78µm
_0421_,16.74µm
_1414_,16.72µm
_1443_,16.71µm
_1901_,16.66µm
_1859_,16.58µm
_1496_,16.56µm
_0601_,16.54µm
_1536_,16.54µm
_2320_,16.54µm
_0801_,16.5µm
_1282_,16.5µm
_1300_,16.5µm
_1281_,16.46µm
_0937_,16.42µm
_1123_,16.42µm
_1172_,16.42µm
_1430_,16.42µm
_1617_,16.42µm
_2337_,16.42µm
_1358_,16.4µm
_1964_,16.34µm
_2244_,16.34µm
_0465_,16.32µm
_1351_,16.32µm
_2106_,16.3µm
_1044_,16.28µm
_1845_,16.26µm
_2272_,16.2µm
_1354_,16.16µm
_0303_,16.12µm
_0879_,16.12µm
_1161_,16.12µm
_1904_,16.12µm
_2302_,16.12µm
_1042_,16.08µm
_0865_,16.06µm
_0691_,16.055µm
_1814_,16.04µm
_0992_,16µm
_0335_,15.98µm
_1932_,15.96µm
_2293_,15.96µm
_2141_,15.94µm
_1667_,15.92µm
slte0.opB\[0\],15.92µm
slte0.opB\[2\],15.92µm
_1134_,15.84µm
_1759_,15.84µm
_0488_,15.82µm
_2001_,15.8µm
_0764_,15.78µm
vec\[1\]\[16\],15.78µm
_1874_,15.77µm
_2118_,15.76µm
_1412_,15.75µm
_2180_,15.75µm
_1954_,15.74µm
_0671_,15.72µm
_0479_,15.7µm
_0779_,15.65µm
_2294_,15.6µm
_1206_,15.58µm
_0541_,15.575µm
net47,15.56µm
vec\[1\]\[0\],15.52µm
vec\[1\]\[2\],15.52µm
_0353_,15.48µm
_1956_,15.48µm
_1229_,15.44µm
_1686_,15.44µm
_1081_,15.42µm
_0589_,15.4µm
_0948_,15.38µm
slte0.opB\[15\],15.34µm
_1925_,15.32µm
_0914_,15.28µm
_1749_,15.26µm
_1143_,15.24µm
_2169_,15.22µm
_0822_,15.21µm
_2243_,15.2µm
_1863_,15.14µm
_0573_,15.12µm
_2183_,15.12µm
_0887_,15.11µm
_0685_,15.1µm
_0726_,15.1µm
slte0.opB\[6\],15.1µm
_1882_,15.04µm
_1895_,15.035µm
_0276_,15.02µm
_0536_,15.02µm
_0749_,14.98µm
_2296_,14.96µm
_1890_,14.9µm
_1710_,14.88µm
_0583_,14.82µm
_1861_,14.82µm
_0775_,14.81µm
_1908_,14.8µm
_1478_,14.78µm
_1843_,14.76µm
slte0.opB\[12\],14.76µm
_1110_,14.75µm
_0350_,14.74µm
_0686_,14.74µm
_1598_,14.68µm
_1996_,14.66µm
_0901_,14.64µm
_0954_,14.64µm
_1921_,14.64µm
_2120_,14.6µm
_1574_,14.56µm
_1659_,14.56µm
_1869_,14.56µm
_2282_,14.56µm
_1937_,14.52µm
_2266_,14.51µm
_2310_,14.5µm
_1603_,14.49µm
_1030_,14.46µm
_1619_,14.46µm
vec\[1\]\[9\],14.46µm
_2171_,14.44µm
_0288_,14.4µm
_0390_,14.4µm
_0648_,14.4µm
_1503_,14.38µm
_0321_,14.36µm
_1850_,14.35µm
_1509_,14.34µm
_1934_,14.34µm
vec\[0\]\[11\],14.25µm
_1164_,14.22µm
_1767_,14.22µm
_0699_,14.2µm
_1609_,14.2µm
_1923_,14.18µm
slte0.opB\[8\],14.18µm
_0883_,14.145µm
_0651_,14.1µm
_0212_,14.08µm
_0387_,14.08µm
_0959_,14.08µm
_1278_,14.08µm
_1541_,14.08µm
_1439_,14.04µm
_1898_,14.04µm
_2136_,14.04µm
_1909_,14.03µm
_2305_,14.02µm
_0456_,14.015µm
_1577_,13.98µm
_1834_,13.96µm
_0566_,13.94µm
_1461_,13.935µm
_1310_,13.92µm
_2079_,13.91µm
_2329_,13.9µm
_0556_,13.86µm
_0866_,13.86µm
_0813_,13.84µm
_1742_,13.84µm
_1531_,13.8µm
_1473_,13.73µm
net21,13.72µm
_1004_,13.68µm
net42,13.68µm
_2151_,13.64µm
_2255_,13.64µm
slte0.opA\[2\],13.64µm
_0894_,13.62µm
_1656_,13.6µm
_2011_,13.56µm
net317,13.54µm
_0383_,13.52µm
_0688_,13.51µm
_0210_,13.5µm
_1568_,13.49µm
_1317_,13.48µm
_1727_,13.48µm
_1896_,13.48µm
_1938_,13.48µm
_1350_,13.46µm
_1366_,13.46µm
_0427_,13.42µm
_1288_,13.42µm
_2181_,13.41µm
_0890_,13.4µm
_1951_,13.36µm
_2160_,13.36µm
_2265_,13.36µm
_2295_,13.36µm
_1638_,13.32µm
_1761_,13.32µm
_1946_,13.32µm
_0620_,13.3µm
_1466_,13.3µm
_2264_,13.3µm
theta[5],13.25µm
_0504_,13.22µm
_1347_,13.18µm
_2099_,13.18µm
_0441_,13.16µm
_2268_,13.13µm
_0803_,13.1µm
_2331_,13.1µm
_0450_,13.08µm
_1649_,13.06µm
_1084_,13.04µm
cos[8],13.04µm
_0811_,13.02µm
_0897_,13.02µm
_0317_,13µm
_1122_,13µm
_1662_,13µm
_1275_,12.96µm
_0163_,12.945µm
_0290_,12.92µm
_0361_,12.92µm
_1652_,12.92µm
_1931_,12.9µm
_2134_,12.86µm
_0832_,12.84µm
_1160_,12.84µm
_1173_,12.84µm
net41,12.84µm
_0498_,12.82µm
net14,12.82µm
_1950_,12.8µm
net43,12.8µm
_0491_,12.78µm
_2313_,12.78µm
_0613_,12.72µm
_1187_,12.72µm
_2165_,12.72µm
_0965_,12.7µm
_1313_,12.7µm
_0934_,12.68µm
_1285_,12.68µm
