          0,      0,      0
       2821,    704,      0
       5598,   1927,    704
       8286,   3340,   2631
      10841,   4557,   5971
      13225,   5231,  10528
      15400,   5141,  15759
      17334,   4249,  20900
      19000,   2711,  25149
      20375,    839,  27860
      21442,   -976,  28699
      22190,  -2359,  27723
      22614,  -3047,  25364
      22714,  -2949,  22317
      22499,  -2166,  19368
      21979,   -972,  17202
      21174,    264,  16230
      20105,   1166,  16494
      18799,   1450,  17660
      17286,    994,  19110
      15599,   -134,  20104
      13775,  -1683,  19970
      11847,  -3293,  18287
       9855,  -4579,  14994
       7833,  -5225,  10415
       5817,  -5069,   5190
       3841,  -4139,    121
       1935,  -2651,  -4018
        126,   -953,  -6669
      -1560,    562,  -7622
      -3106,   1551,  -7060
      -4496,   1803,  -5509
      -5719,   1300,  -3706
      -6768,    209,  -2406
      -7642,  -1152,  -2197
      -8344,  -2401,  -3349
      -8881,  -3184,  -5750
      -9263,  -3267,  -8934
      -9504,  -2592, -12201
      -9620,  -1300, -14793
      -9631,    315, -16093
      -9555,   1870, -15778
      -9415,   2993, -13908
      -9231,   3414, -10915
      -9023,   3033,  -7501
      -8810,   1948,  -4468
      -8610,    425,  -2520
      -8437,  -1160,  -2095
      -8305,  -2423,  -3255
      -8221,  -3059,  -5678
      -8192,  -2923,  -8737
      -8218,  -2063, -11660
      -8299,   -707, -13723
      -8430,    793, -14430
      -8600,   2051, -13637
      -8799,   2748, -11586
      -9012,   2704,  -8838
      -9221,   1932,  -6134
      -9407,    630,  -4202
      -9550,   -865,  -3572
      -9629,  -2163,  -4437
      -9623,  -2919,  -6600
      -9512,  -2918,  -9519
      -9278,  -2129, -12437
      -8904,   -714, -14566
      -8375,   1012, -15280
      -7682,   2658, -14268
      -6816,   3856, -11610
      -5776,   4350,  -7754
      -4562,   4060,  -3404
      -3181,   3100,    656
      -1642,   1750,   3756
         38,    382,   5506
       1841,   -630,   5888
       3743,  -1010,   5258
       5716,   -643,   4248
       7730,    388,   3605
       9753,   1828,   3993
      11748,   3308,   5821
      13679,   4445,   9129
      15510,   4929,  13574
      17204,   4603,  18503
      18727,   3508,  23106
      20044,   1865,  26614
      21126,     26,  28479
      21945,  -1614,  28505
      22480,  -2718,  26891
      22711,  -3084,  24173
      22627,  -2700,  21089
      22219,  -1743,  18389
      21488,   -532,  16646
      20437,    548,  16114
      19077,   1151,  16662
      17425,   1054,  17813
      15504,    213,  18867
      13340,  -1222,  19080
      10966,  -2945,  17858
       8419,  -4569,  14913
       5737,  -5721,  10344
       2964,  -6137,   4623
        143,  -5723,  -1514
      -2679,  -4585,  -7237
      -5459,  -2994, -11822
      -8152,  -1328, -14816
     -10715,     28, -16144
     -13108,    780, -16116
     -15295,    790, -15336
     -17242,    116, -14546
     -18922,  -1008, -14430
     -20312,  -2227, -15438
     -21395,  -3160, -17665
     -22160,  -3494, -20825
     -22600,  -3065, -24319
     -22717,  -1898, -27384
     -22517,   -207, -29282
     -22013,   1662, -29489
     -21221,   3313, -27827
     -20165,   4400, -24514
     -18870,   4711, -20114
     -17367,   4220, -15403
     -15689,   3093, -11183
     -13870,   1648,  -8090
     -11947,    271,  -6442
      -9957,   -676,  -6171
      -7936,   -949,  -6847
      -5919,   -480,  -7796
      -3940,    604,  -8276
      -2030,   2014,  -7672
       -215,   3374,  -5658
       1478,   4314,  -2284
       3031,   4564,   2030
       4430,   4022,   6594
       5661,   2783,  10616
       6719,   1113,  13399
       7602,   -615,  14512
       8313,  -2011,  13897
       8857,  -2769,  11886
       9247,  -2737,   9117
       9495,  -1959,   6380
       9617,   -661,   4421
       9632,    807,   3760
       9561,   2055,   4567
       9423,   2755,   6622
       9241,   2721,   9377
       9033,   1953,  12098
       8821,    646,  14051
       8619,   -874,  14697
       8445,  -2219,  13823
       8311,  -3042,  11604
       8224,  -3127,   8562
       8192,  -2438,   5435
       8216,  -1133,   2997
       8294,    474,   1864
       8422,   1995,   2338
       8591,   3059,   4333
       8789,   3407,   7392
       9001,   2957,  10799
       9210,   1820,  13756
       9398,    275,  15576
       9544,  -1302,  15851
       9626,  -2533,  14549
       9626,  -3131,  12016
       9521,  -2973,   8885
       9293,  -2128,   5912
       8926,   -843,   3784
       8406,    523,   2941
       7721,   1587,   3464
       6865,   2039,   5051
       5833,   1724,   7090
       4628,    677,   8814
       3255,   -882,   9491
       1724,  -2604,   8609
         50,  -4093,   6005
      -1747,  -5008,   1912
      -3644,  -5145,  -3096
      -5615,  -4489,  -8241
      -7628,  -3214, -12730
      -9650,  -1641, -15944
     -11648,   -157, -17585
     -13583,    882, -17742
     -15420,   1242, -16860
     -17122,    866, -15618
     -18654,   -110, -14752
     -19983,  -1391, -14862
     -21077,  -2597, -16253
     -21910,  -3363, -18850
     -22460,  -3425, -22213
     -22707,  -2693, -25638
     -22639,  -1271, -28331
     -22248,    567, -29602
     -21532,   2442, -29035
     -20497,   3966, -26593
     -19153,   4834, -22627
     -17516,   4902, -17793
     -15607,   4223, -12891
     -13455,   3026,  -8668
     -11091,   1663,  -5642
      -8552,    520,  -3979
      -5876,    -85,  -3459
      -3106,     24,  -3544
