net,length_um
_0238_,578.97µm
_0303_,541.51µm
net289,536.32µm
_0458_,487.38µm
_0932_,481.75µm
_1983_,477.63µm
_1492_,460.36µm
_1042_,443.4µm
_1470_,441.32µm
_2422_,438.18µm
_0927_,418.2µm
_1884_,416.59µm
_2191_,413.96µm
_0490_,412.82µm
net218,401.96µm
_4035_,393.44µm
_1240_,383.64µm
net157,378.28µm
net245,372.64µm
_1426_,372.55µm
net4,371.37µm
net307,368.955µm
_1119_,364.81µm
net97,362.74µm
net274,356.815µm
net123,348µm
_0269_,347.02µm
_3885_,345.95µm
_1481_,338.94µm
_3901_,335.76µm
net259,334.6µm
net419,315.725µm
net39,312.87µm
net284,311.3µm
net12,306.28µm
net7,305µm
_1218_,304.34µm
_3668_,302.45µm
net267,302.15µm
net15,301.76µm
net190,298.82µm
_1503_,295.21µm
net9,293.61µm
net64,288.91µm
net187,286.32µm
net282,283.59µm
net32,279.16µm
net292,278.62µm
net107,274.875µm
net16,271.57µm
net321,270.14µm
_2449_,269.24µm
net142,267.5µm
_0685_,267.16µm
net286,264.98µm
net141,264.86µm
counter\[11\],263.48µm
net244,263.45µm
_2378_,262.3µm
net295,260.66µm
counter\[10\],260.37µm
net320,260.08µm
net100,260.02µm
net297,257.24µm
net63,256.58µm
net269,254.1µm
net315,251.58µm
net77,250.27µm
net231,249.86µm
net247,248µm
net261,245µm
net113,243.26µm
net304,242.8µm
_3751_,242.27µm
net162,238.06µm
net186,237.07µm
net191,233.36µm
net248,233.02µm
net55,232.5µm
counter\[5\],232.38µm
_3082_,232.1µm
_2115_,231.36µm
net91,231.28µm
net78,229.71µm
net420,229.34µm
net314,229µm
net226,226.59µm
net138,225.96µm
_2216_,225.665µm
counter\[3\],224.8µm
counter\[7\],222.66µm
net270,221.72µm
_1031_,220.82µm
_0868_,219.86µm
net73,218.58µm
_3827_,217.59µm
net235,216.89µm
net76,215.73µm
net173,214.085µm
_0149_,213.945µm
net116,213.48µm
net319,213.33µm
_3997_,212.32µm
net26,212.24µm
net294,212.2µm
net74,212.1µm
_2678_,212µm
_2268_,211.94µm
_0691_,211.76µm
_0699_,209.9µm
net90,209.86µm
net18,209.52µm
_2163_,209.46µm
counter\[0\],208.91µm
net189,207.76µm
_3652_,206.78µm
net33,206.645µm
_0687_,205.24µm
net106,205.08µm
net200,204.69µm
net61,204.46µm
net233,203.83µm
net298,203.4µm
net42,203.19µm
net265,203.1µm
net14,202.58µm
net79,201.72µm
net299,200.42µm
_2202_,199.935µm
net278,199.52µm
net293,199.42µm
net268,199.17µm
_1229_,198.76µm
net224,197.3µm
net22,196.32µm
net21,195.54µm
net80,195.52µm
net287,194.7µm
net10,194.44µm
net126,194.4µm
net310,194.38µm
_1840_,194.24µm
_0926_,193.29µm
net75,192.74µm
net242,191.72µm
_2883_,190.4µm
net195,189.41µm
net31,189.18µm
net249,188.04µm
net167,187.92µm
net256,187.3µm
net279,187.27µm
_2139_,187.06µm
net217,186.76µm
_0200_,186.72µm
net309,186.685µm
net93,186.27µm
net20,184.72µm
net257,184.14µm
net45,183.79µm
net208,182.26µm
net308,182.22µm
net262,181.84µm
net110,181.24µm
net112,178.55µm
_0863_,176.08µm
net140,175.44µm
_2381_,174.35µm
net82,174µm
_2162_,173.96µm
net238,173.59µm
net302,173.31µm
net58,173µm
_3769_,172.95µm
net133,172.94µm
net137,171.76µm
_2950_,171.63µm
net95,170.68µm
net163,170.2µm
net272,169.24µm
net102,168.18µm
_1873_,167.82µm
net81,167.49µm
net181,167.2µm
net212,166.75µm
net296,166.56µm
net266,166.4µm
net318,165.25µm
net285,165.02µm
net260,164.77µm
_2128_,164.14µm
net182,163.74µm
_2130_,163.12µm
net50,160.76µm
net122,160.7µm
net147,160.46µm
net280,159.935µm
