theta_r, theta_q, sin_r, sin_q, cos_r, cos_q, sin_err, cos_err
1.330, 55500, 63648, 53763, 15611, 37473, 2268327.000, 2044016.000
1.342, 56000, 63830, 51907, 14847, 40006, 2280250.000, 2069175.000
1.354, 56500, 64004, 49932, 14081, 42443, 2294322.000, 2097537.000
1.366, 57000, 64168, 47837, 13313, 44792, 2310653.000, 2129016.000
1.378, 57500, 64323, 45635, 12543, 47035, 2329341.000, 2163508.000
1.390, 58000, 64469, 43330, 11771, 49165, 2350480.000, 2200902.000
1.402, 58500, 64605, 40927, 10998, 51184, 2374158.000, 2241088.000
1.414, 59000, 64732, 38428, 10223, 53084, 2400462.000, 2283949.000
1.426, 59500, 64850, 35837,  9446, 54867, 2429475.000, 2329370.000
1.438, 60000, 64959, 33169,  8668, 56519, 2461265.000, 2377221.000
1.450, 60500, 65058, 30421,  7889, 58044, 2495902.000, 2427376.000
1.462, 61000, 65148, 27608,  7109, 59435, 2533442.000, 2479702.000
1.474, 61500, 65228, 24723,  6328, 60690, 2573947.000, 2534064.000
1.486, 62000, 65299, 21788,  5546, 61807, 2617458.000, 2590325.000
1.498, 62500, 65361, 18804,  4763, 62778, 2664015.000, 2648340.000
1.510, 63000, 65414, 15774,  3979, 63606, 2713655.000, 2707967.000
1.522, 63500, 65457, 12708,  3195, 64291, 2766404.000, 2769063.000
1.534, 64000, 65490,  9609,  2410, 64825, 2822285.000, 2831478.000
1.546, 64500, 65514,  6494,  1625, 65211, 2881305.000, 2895064.000
1.558, 65000, 65529,  3360,   840, 65448, 2943474.000, 2959672.000
1.570, 65500, 65534,   219,    54, 65534, 3008789.000, 3025152.000
