mem = 000e3, val = 00060
mem = 000e4, val = 00062
mem = 000e5, val = 00064
mem = 000e6, val = 00066
mem = 000e7, val = 00068
mem = 000e8, val = 0006a
mem = 000e9, val = 0006c
mem = 000ea, val = 0006d
mem = 000eb, val = 0006f
mem = 000ec, val = 00070
mem = 000ed, val = 00072
mem = 000ee, val = 00073
mem = 000ef, val = 00075
mem = 000f0, val = 00076
mem = 000f1, val = 00077
mem = 000f2, val = 00078
mem = 000f3, val = 00079
mem = 000f4, val = 0007a
mem = 000f5, val = 0007b
mem = 000f6, val = 0007c
mem = 000f7, val = 0007c
mem = 000f8, val = 0007d
mem = 000f9, val = 0007e
mem = 000fa, val = 0007e
mem = 000fb, val = 0007f
mem = 000fc, val = 0007f
mem = 000fd, val = 0007f
mem = 000fe, val = 0007f
mem = 000ff, val = 0007f
