Instance name, X location, Y location, Voltage
input53, 175.44, 301.92, 1.79986
input54, 175.44, 301.92, 1.79986
_5692_, 175.44, 296.48, 1.79969
_5696_, 175.44, 296.48, 1.79969
_5697_, 175.44, 296.48, 1.79969
_5702_, 175.44, 296.48, 1.79969
input55, 175.44, 296.48, 1.79969
FILLER_0_104_356, 175.44, 296.48, 1.79969
FILLER_0_104_365, 175.44, 296.48, 1.79969
FILLER_0_105_382, 175.44, 296.48, 1.79969
FILLER_0_106_370, 175.44, 296.48, 1.79969
FILLER_0_106_380, 175.44, 296.48, 1.79969
_5669_, 175.44, 291.04, 1.79967
_5695_, 175.44, 291.04, 1.79967
_5698_, 175.44, 291.04, 1.79967
_5703_, 175.44, 291.04, 1.79967
fanout120, 175.44, 291.04, 1.79967
fanout135, 175.44, 291.04, 1.79967
fanout137, 175.44, 291.04, 1.79967
FILLER_0_103_360, 175.44, 291.04, 1.79967
FILLER_0_103_369, 175.44, 291.04, 1.79967
FILLER_0_104_378, 175.44, 291.04, 1.79967
_5693_, 175.44, 285.6, 1.79971
_5700_, 175.44, 285.6, 1.79971
_5701_, 175.44, 285.6, 1.79971
_5731_, 175.44, 285.6, 1.79971
_6915_, 175.44, 285.6, 1.79971
fanout136, 175.44, 285.6, 1.79971
FILLER_0_100_360, 175.44, 285.6, 1.79971
FILLER_0_100_365, 175.44, 285.6, 1.79971
FILLER_0_101_356, 175.44, 285.6, 1.79971
FILLER_0_101_369, 175.44, 285.6, 1.79971
FILLER_0_101_380, 175.44, 285.6, 1.79971
_5735_, 175.44, 280.16, 1.79948
_5736_, 175.44, 280.16, 1.79948
_6912_, 175.44, 280.16, 1.79948
_6913_, 175.44, 280.16, 1.79948
_6914_, 175.44, 280.16, 1.79948
FILLER_0_98_357, 175.44, 280.16, 1.79948
FILLER_0_100_373, 175.44, 280.16, 1.79948
FILLER_0_100_381, 175.44, 280.16, 1.79948
_5737_, 175.44, 274.72, 1.79961
_6917_, 175.44, 274.72, 1.79961
_6921_, 175.44, 274.72, 1.79961
_6922_, 175.44, 274.72, 1.79961
FILLER_0_96_361, 175.44, 274.72, 1.79961
FILLER_0_96_365, 175.44, 274.72, 1.79961
FILLER_0_97_360, 175.44, 274.72, 1.79961
FILLER_0_97_372, 175.44, 274.72, 1.79961
FILLER_0_97_380, 175.44, 274.72, 1.79961
_6918_, 175.44, 269.28, 1.79961
_6919_, 175.44, 269.28, 1.79961
_6923_, 175.44, 269.28, 1.79961
_6924_, 175.44, 269.28, 1.79961
_6986_, 175.44, 269.28, 1.79961
FILLER_0_94_361, 175.44, 269.28, 1.79961
